               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.021141,           0.0056828,                   0,             0.98643,              0.9209,             0.92991,             0.64736,            0.024862,           0.0029744,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.020208,           0.0046188,                   0,             0.98058,              0.9209,             0.92944,             0.63945,             0.02478,           0.0029875,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.022811,           0.0050411,                   0,             0.99388,             0.91717,             0.92944,             0.63504,            0.024668,           0.0029998,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.021043,           0.0047667,                   0,             0.99386,             0.91496,             0.93096,             0.64214,            0.024531,           0.0029992,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.019137,           0.0044288,                   0,             0.97533,             0.92655,             0.93156,             0.64152,            0.024846,           0.0029989,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.019962,           0.0045835,                   0,             0.97592,             0.92655,             0.93088,             0.64603,            0.024745,           0.0030009,                   0,            0.001684,            0.001684,            0.001684
                  44,             0.02045,           0.0056905,                   0,             0.97617,             0.92572,             0.93147,             0.64059,            0.024742,            0.002985,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.018319,           0.0047331,                   0,             0.97613,             0.92425,             0.93079,             0.64186,            0.024715,           0.0029888,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.019384,           0.0054565,                   0,             0.97662,             0.91525,             0.93389,             0.64587,            0.024477,            0.002973,                   0,             0.00109,             0.00109,             0.00109
                  47,             0.01859,           0.0045654,                   0,             0.98192,              0.9205,             0.93354,             0.64986,            0.024296,            0.002979,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.019623,           0.0046519,                   0,             0.98061,              0.9209,             0.93416,             0.64985,            0.023993,           0.0029828,                   0,            0.000694,            0.000694,            0.000694
                  49,             0.02019,           0.0053789,                   0,             0.98055,              0.9209,              0.9351,             0.65537,            0.023992,           0.0029802,                   0,            0.000496,            0.000496,            0.000496
